datetime,open,high,low,close,volume
2025-04-15 09:15:00,770.0,770.0,757.1,765.3,595902
2025-04-15 09:20:00,765.35,766.4,764.75,765.6,158265
2025-04-15 09:25:00,765.7,767.1,763.5,766.5,238259
2025-04-15 09:30:00,766.7,768.0,765.0,765.1,147313
2025-04-15 09:35:00,765.0,766.75,765.0,766.0,74501
2025-04-15 09:40:00,765.95,768.65,765.8,767.5,162193
2025-04-15 09:45:00,767.5,768.35,767.15,767.65,81256
2025-04-15 09:50:00,767.65,769.3,767.55,768.85,101316
2025-04-15 09:55:00,768.85,769.9,767.6,768.2,120225
2025-04-15 10:00:00,768.45,768.45,767.1,767.35,52363
2025-04-15 10:05:00,767.25,770.7,767.2,770.2,170254
2025-04-15 10:10:00,770.4,770.55,768.85,769.6,73504
2025-04-15 10:15:00,769.6,769.8,768.55,768.9,69118
2025-04-15 10:20:00,768.6,770.2,768.6,769.1,67789
2025-04-15 10:25:00,769.1,769.3,768.3,768.45,63600
2025-04-15 10:30:00,768.55,769.3,768.15,768.45,51723
2025-04-15 10:35:00,768.35,768.45,767.7,767.8,30941
2025-04-15 10:40:00,767.85,768.5,767.5,768.35,47266
2025-04-15 10:45:00,768.1,768.35,767.1,767.5,41457
2025-04-15 10:50:00,767.55,767.8,767.2,767.55,29157
2025-04-15 10:55:00,767.7,768.2,767.5,767.65,29201
2025-04-15 11:00:00,767.65,768.0,767.6,767.8,23424
2025-04-15 11:05:00,767.85,767.9,767.25,767.25,30290
2025-04-15 11:10:00,767.3,767.3,766.5,766.8,56134
2025-04-15 11:15:00,766.9,767.5,766.7,766.85,36932
2025-04-15 11:20:00,766.95,767.0,766.1,767.0,68877
2025-04-15 11:25:00,767.0,767.65,766.95,767.5,37522
2025-04-15 11:30:00,767.5,767.7,766.5,766.55,42075
2025-04-15 11:35:00,766.75,767.9,766.5,767.85,36924
2025-04-15 11:40:00,767.9,769.25,767.75,768.75,92330
2025-04-15 11:45:00,768.75,769.05,767.8,768.0,44687
2025-04-15 11:50:00,768.0,768.2,767.5,767.9,46220
2025-04-15 11:55:00,767.85,768.6,767.85,768.2,38585
2025-04-15 12:00:00,768.2,768.45,767.15,767.25,30068
2025-04-15 12:05:00,767.25,767.5,766.6,767.5,36378
2025-04-15 12:10:00,767.5,767.8,767.1,767.7,22945
2025-04-15 12:15:00,767.45,767.95,767.2,767.55,30034
2025-04-15 12:20:00,767.55,767.65,767.1,767.25,35292
2025-04-15 12:25:00,767.3,767.7,767.0,767.4,47960
2025-04-15 12:30:00,767.4,767.9,767.0,767.3,55085
2025-04-15 12:35:00,767.5,767.55,766.75,766.95,57425
2025-04-15 12:40:00,766.95,767.0,765.8,766.0,154838
2025-04-15 12:45:00,766.0,766.0,765.5,765.85,54075
2025-04-15 12:50:00,765.75,765.95,765.1,765.25,90527
2025-04-15 12:55:00,765.25,765.65,764.9,765.05,141213
2025-04-15 13:00:00,765.15,765.35,765.0,765.25,36830
2025-04-15 13:05:00,765.2,765.55,765.1,765.2,53090
2025-04-15 13:10:00,765.25,765.35,764.4,764.75,62093
2025-04-15 13:15:00,764.8,765.4,764.7,765.0,44855
2025-04-15 13:20:00,765.0,765.45,764.9,764.95,60068
2025-04-15 13:25:00,764.95,766.0,764.95,765.75,69133
2025-04-15 13:30:00,765.8,765.95,765.1,765.5,45354
2025-04-15 13:35:00,765.55,765.65,764.5,765.0,79279
2025-04-15 13:40:00,765.0,765.85,764.85,765.35,151475
2025-04-15 13:45:00,765.4,765.9,764.55,764.6,145913
2025-04-15 13:50:00,764.65,765.0,764.5,764.85,43837
2025-04-15 13:55:00,764.9,765.0,764.75,764.95,36400
2025-04-15 14:00:00,764.85,765.0,764.7,765.0,52082
2025-04-15 14:05:00,765.0,765.95,764.6,765.2,145553
2025-04-15 14:10:00,765.4,765.65,764.65,765.2,84072
2025-04-15 14:15:00,765.15,765.35,764.55,765.05,73996
2025-04-15 14:20:00,765.15,765.3,764.3,764.85,85461
2025-04-15 14:25:00,765.0,765.35,764.7,765.15,61517
2025-04-15 14:30:00,765.15,765.2,764.3,764.75,81357
2025-04-15 14:35:00,764.75,764.9,764.25,764.3,100351
2025-04-15 14:40:00,764.45,765.0,763.85,763.9,306567
2025-04-15 14:45:00,764.05,764.35,763.85,764.15,100532
2025-04-15 14:50:00,764.25,764.35,764.0,764.3,110483
2025-04-15 14:55:00,764.3,764.7,764.0,764.3,145234
2025-04-15 15:00:00,763.2,764.0,762.85,763.6,188137
2025-04-15 15:05:00,763.6,763.75,762.4,762.95,261183
2025-04-15 15:10:00,762.95,763.65,762.75,763.65,343227
2025-04-15 15:15:00,763.65,764.0,762.7,763.0,356190
2025-04-15 15:20:00,763.0,764.0,762.9,763.45,353448
2025-04-15 15:25:00,763.5,765.1,763.4,764.5,373026
