Date,Portfolio_Value,Daily_Return,Cumulative_Return,Volatility,Sharpe_Ratio,Max_Drawdown,Benchmark_Return
2024-01-02,100000.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024-01-03,100850.00,0.0085,0.0085,0.0085,0.0000,-0.0000,0.0075
2024-01-04,101245.00,0.0039,0.0125,0.0062,0.4021,-0.0000,0.0045
2024-01-05,100985.00,-0.0026,0.0099,0.0056,0.3529,-0.0026,0.0032
2024-01-08,101568.00,0.0058,0.0157,0.0055,0.5714,-0.0026,0.0068
2024-01-09,102145.00,0.0057,0.0215,0.0054,0.7963,-0.0026,0.0052
2024-01-10,101892.00,-0.0025,0.0189,0.0053,0.7132,-0.0051,0.0038
2024-01-11,102485.00,0.0058,0.0249,0.0053,0.9403,-0.0051,0.0055
2024-01-12,103126.00,0.0063,0.0313,0.0052,1.2019,-0.0051,0.0062
2024-01-16,102865.00,-0.0025,0.0287,0.0052,1.1038,-0.0076,0.0028
2024-01-17,103548.00,0.0066,0.0355,0.0052,1.3654,-0.0076,0.0058
2024-01-18,104216.00,0.0065,0.0422,0.0052,1.6231,-0.0076,0.0065
2024-01-19,103892.00,-0.0031,0.0389,0.0052,1.4962,-0.0107,0.0035
2024-01-22,104578.00,0.0066,0.0458,0.0052,1.7596,-0.0107,0.0062
2024-01-23,105245.00,0.0064,0.0525,0.0052,2.0192,-0.0107,0.0058
2024-01-24,104892.00,-0.0034,0.0489,0.0052,1.8808,-0.0141,0.0025
2024-01-25,105632.00,0.0071,0.0563,0.0052,2.1635,-0.0141,0.0068
2024-01-26,106385.00,0.0071,0.0639,0.0052,2.4596,-0.0141,0.0072
2024-01-29,106128.00,-0.0024,0.0613,0.0052,2.3520,-0.0165,0.0032
2024-01-30,106892.00,0.0072,0.0689,0.0052,2.6442,-0.0165,0.0075
